,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
57,Albiol,Villarreal,Defender,1045,12,0,0,115.7,,73.0,9.0,6.0,3.0,62.0,,,,9.0,6.0,1.0,0.0,,,,,,,,2.0,0.0,1.0,0.0,1.0,85.9,440.0,385.0,0.0,1.0,0.0,14.0
58,Ederson,Man. City,Goalkeeper,1003,11,0,0,51.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,89.9,318.0,277.0,0.0,0.0,0.0,21.0
59,Mahrez,Man. City,Midfielder,986,12,7,2,120.1,,20.0,6.0,1.0,5.0,3.0,30.0,5.0,28.0,6.0,20.0,1.0,0.0,1.0,4.0,2.0,0.0,7.0,0.0,2.0,37.0,18.0,8.0,0.4864864864864865,11.0,84.9,482.0,414.0,24.0,49.0,12.0,11.0
60,Danjuma,Villarreal,Midfielder,906,11,6,2,107.8,,3.0,1.0,0.0,1.0,5.0,3.0,8.0,31.0,6.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.0,25.0,14.0,5.0,0.56,6.0,78.6,165.0,128.0,38.0,13.0,5.0,0.0
61,Vertonghen,Benfica,Defender,900,10,0,1,97.9,,51.0,9.0,6.0,3.0,51.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,,,,,,,,7.0,2.0,3.0,0.2857142857142857,2.0,83.3,424.0,360.0,0.0,1.0,0.0,9.0
62,Vlachodimos,Benfica,Goalkeeper,900,10,0,0,55.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,73.8,345.0,247.0,0.0,0.0,0.0,52.0
63,Oblak,Atlético,Goalkeeper,900,10,0,0,52.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,,55.7,283.0,158.0,0.0,0.0,0.0,31.0
64,Foyth,Villarreal,Defender,891,10,0,0,98.7,,55.0,20.0,10.0,10.0,30.0,,,,9.0,7.0,1.0,0.0,,,,,,,,4.0,0.0,2.0,0.0,2.0,82.1,347.0,290.0,0.0,1.0,0.0,8.0
65,Bernardo Silva,Man. City,Midfielder,878,11,3,3,120.3,,25.0,9.0,4.0,5.0,5.0,2.0,3.0,18.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,2.0,0.5714285714285714,1.0,91.6,462.0,427.0,23.0,17.0,4.0,5.0
66,Lewandowski,Bayern,Forward,876,10,13,3,99.7,,7.0,4.0,0.0,4.0,0.0,0.0,7.0,1.0,11.0,13.0,1.0,0.0,8.0,3.0,1.0,1.0,13.0,0.0,3.0,31.0,19.0,8.0,0.6129032258064516,4.0,79.1,206.0,163.0,10.0,10.0,1.0,1.0
